state,x,y
Acre,-273,52
Alagoas,295,54
Amapá,30,186
Amazonas,-190,124
Bahia,200,28
Ceará,240,114
Distrito Federal,100,-12
Espírito Santo,223,-58
Goiás,65,-28
Maranhão,142,114
Mato Grosso,-43,24
Mato Grosso Do Sul,-22,-65
Minas Gerais,149,-36
Pará,15,122
Paraíba,307,85
Paraná,26,-114
Pernambuco,296,67
Piauí,179,84
Rio De Janeiro,187,-90
Rio Grande Do Norte,305,105
Rio Grande Do Sul,8,-185
Rondônia,-174,48
Roraima,-131,197
Santa Catarina,49,-145
São Paulo,79,-91
Sergipe,275,45
Tocantins,89,55
