state_name_pt,state_name_en,x,y
Albânia,Albania,16,-231
Alemanha,Germany,-77,-32
Andorra,Andorra,-194,-172
Áustria,Austria,-36,-106
Bélgica,Belgium,-135,-29
Bielorrússia,Belarus,87,7
Bósnia e Herzegovina,Bosnia and Herzegovina,-5,-175
Bulgária,Bulgaria,86,-199
Chipre,Cyprus,190,-328
Croácia,Croatia,-23,-149
Dinamarca,Denmark,-78,56
Eslováquia,Slovakia,15,-88
Eslovênia,Slovenia,-46,-137
Espanha,Spain,-261,-209
Estônia,Estonia,51,104
Finlândia,Finland,48,166
França,France,-168,-105
Grécia,Greece,49,-261
Hungria,Hungary,9,-121
Irlanda,Ireland,-244,43
Islândia,Iceland,-228,288
Itália,Italy,-89,-153
Kosovo,Kosovo,29,-202
Letônia,Latvia,65,68
Liechtenstein,Liechtenstein,-93,-106
Lituânia,Lithuania,49,38
Luxemburgo,Luxembourg,-124,-51
Malta,Malta,-52,-324
Moldávia,Moldova,110,-108
Mônaco,Monaco,-127,-164
Montenegro,Montenegro,7,-199
Noruega,Norway,-80,136
Países Baixos,Netherlands,-126,-8
Polônia,Poland,12,-20
Portugal,Portugal,-324,-179
Tchéquia,Czechia,-29,-69
Macedônia do Norte,North Macedonia,40,-221
Reino Unido,United Kingdom,-186,25
Romênia,Romania,84,-155
Rússia,Russia,184,84
San Marino,San Marino,-69,-171
Sérvia,Serbia,27,-175
Suécia,Sweden,-18,113
Suíça,Switzerland,-114,-117
Turquia,Turkey,175,-251
Ucrânia,Ukraine,131,-63
Vaticano,Vatican City,-72,-205
